"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
489185,"April 25, 2013",Ohio,Oberlin,"500 block of West College Street",4,0,0,0,0,N/A
485811,"April 24, 2013",Illinois,Manchester,"East Street",1,5,0,1,0,N/A
485746,"April 22, 2013",Louisiana,Harvey,"2300 block of Lapalco Boulevard",5,0,0,0,5,N/A
484351,"April 22, 2013",Illinois,"Chicago (Englewood)","5700 block of South Lowe Avenue",4,0,0,0,0,N/A
484333,"April 21, 2013",Washington,"Federal Way","33300 block of 18th Lane South",0,4,0,1,0,N/A
484317,"April 18, 2013",Ohio,Akron,"Kimlyn Circle",0,4,0,0,1,N/A
484307,"April 14, 2013",Arizona,Phoenix,"12400 North 25th Avenue",4,2,0,0,1,N/A
484287,"April 14, 2013",Kentucky,Lexington,"750 East New Circle Rd",4,1,0,0,1,N/A
484279,"April 10, 2013",California,Vallejo,"1800 block of Mini Drive",4,0,0,0,0,N/A
484268,"April 9, 2013",Pennsylvania,Philadelphia,"Somerset Street and Lee Street",3,1,0,0,1,N/A
483878,"April 7, 2013",California,"Long Beach","300 block of East Home Street",3,1,0,0,0,N/A
483872,"April 7, 2013","New York","New York (Manhattan)","900 Garden Way",3,1,0,0,1,N/A
483861,"April 6, 2013","South Carolina",Greenwood,"Tabor Street",4,1,0,0,1,N/A
483817,"March 31, 2013",Washington,Auburn,"2802 Auburn Way North",1,3,1,0,1,N/A
483835,"March 30, 2013",California,Atwater,"9200 block of Westside Boulevard",2,3,0,0,2,N/A
483788,"March 22, 2013","New York",Brooklyn,"2703 W. 33rd Street",3,1,0,0,1,N/A
483765,"March 21, 2013",Missouri,"Kansas City","4900 block of Brookside Blvd",3,1,0,0,2,N/A
483737,"March 21, 2013",Illinois,Chicago,"West 87th Street and Ashland Avenue",7,0,0,0,0,N/A
482942,"March 17, 2013",Florida,"Belle Glade","Northwest 16th Street and Northwest Avenue L",5,0,0,0,0,N/A
482934,"March 17, 2013",California,Stockton,"1800 block of East Sonora Street",3,2,0,0,0,N/A
482926,"March 16, 2013",California,Galt,"Dover Drive",7,0,0,0,0,N/A
